year,oid,is_buffer,treatment_type,treatment_description,area,mean_esi_pre,mean_esi_post,mean_et_pre,mean_et_post,mean_wue_pre,mean_wue_post,mean_lst_eco_pre,mean_lst_eco_post,mean_lst_modis_pre,mean_lst_modis_post,total_pixels_modis,non-fire_pre,non-fire_post,fire_low_pre,fire_low_post,fire_nominal_pre,fire_nominal_post,fire_high_pre,fire_high_post,total_days_modis_pre,total_days_modis_post,percent_non-fire_pre,percent_non-fire_post,percent_fire_low_pre,percent_fire_low_post,percent_fire_nominal_pre,percent_fire_nominal_post,percent_fire_high_pre,percent_fire_high_post
2022,0001,0,Physical,Mastication,0.408,0.30240944000000003,0.5234348375000001,101.26036809285712,117.13137532500001,0.6311797533333333,1.011,,,1.182792869230769,1.1551476434782608,4,80,60,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0002,0,Physical,"Forest Health Thinning, Mastication, Tree Felling and Removal",0.163,0.40424141874999997,0.6865672833333333,177.93199111250001,229.417,0.902,1.0437787666666667,,,1.2860824742268044,1.2245675675675673,2,40,28,0,0,0,0,0,0,20,15,1.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
2022,0006,0,Physical,"Forest Health Thinning, Forest Stand Improvement, Mastication, Tree Felling and Removal",0.008,0.4359923352941177,0.7425002833333333,203.1034370823529,244.29718271666664,0.7755329941176471,0.7192693166666667,,,1.325,1.3437027027027026,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0008,0,Physical,"Forest Stand Improvement, Hazardous Fuel Reduction Around Community at Risk, Mastication, Tree Felling and Removal",0.041,0.35502035000000004,0.7523421499999999,139.933,194.572,1.0983496374999997,0.861,,,1.3002328431372552,1.2810789473684212,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0024,0,Physical,"Forest Health Thinning, Forest Stand Improvement, Hazardous Fuel Reduction Around Community at Risk, Maintenance, Mastication",0.073,0.4160580333333333,0.639,263.56478787500004,168.18064687499998,0.9044764916666668,0.742,,,1.2025023809523807,1.259123987804878,3,60,45,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0038,0,Physical,Lop and Scatter,0.071,0.4128858214285715,0.5987573428571428,191.7441684769231,154.34214182857144,1.0006865642857143,1.4590013142857143,,,1.2454678217821784,1.219,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0040,0,Fire,Joplin Ridge ROW,0.249,0.3761405333333333,0.734,139.007,254.993,1.0617567333333333,0.919,,,1.2008134895238094,1.1800614026315785,3,60,42,0,0,0,0,0,0,20,15,1.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
2022,0041,0,Physical,"cut, pile and decking",0.993,0.383,0.6976877499999999,154.14748000625002,186.813,1.1852045374999998,1.334,,,1.1724348581818183,1.1490567733333332,12,240,180,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0042,0,Physical,"Forest Stand Improvement, Mastication, Tree Felling and Removal",0.05,0.3702997937499999,0.752,150.677,195.098,1.121,0.865,,,1.3002328431372552,1.2810789473684212,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0049,0,Physical,"Chipping, Forest Health Thinning, Hazardous Fuel Reduction Around Community at Risk",0.038,0.294,0.627,170.407,171.679,0.6468473666666666,0.519,,,1.329603365384616,1.2663953488372095,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0055,0,Physical,"Tree Felling and Removal, pile burns",0.004,0.3077794380952381,0.6600523142857142,113.6038901904762,184.89180862857143,0.6383682952380954,0.6417223142857142,,,1.2986342592592592,1.2248552631578946,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0058,0,Physical,"Mastication, Tree Felling and Removal",0.009,0.2942495590909091,0.6784926666666666,107.92455533636362,208.73920950000002,1.0808582727272726,0.8204861833333333,,,1.3135045454545455,1.198333333333333,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0059,0,Physical,"Chipping, Tree Felling and Removal",0.005,0.2830626105263157,0.595,109.4727008263158,166.09108734285715,0.6170354263157894,0.7136881714285714,,,1.2289190476190481,1.1607073170731708,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0060,0,Physical,"Lop and Scatter, Tree Felling",0.021,0.432,0.6998757833333333,157.7878519761905,197.54772313333333,1.2650105333333335,1.1751424833333333,,,1.3010804373913047,1.2014320184210527,3,60,45,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0062,0,Physical,"Lop and Scatter, Mastication, Tree Felling and Removal",0.017,0.285,0.6864609333333332,97.986,202.84221266666665,0.758,0.6416761999999999,,,1.2668909090909093,1.2186282051282054,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0063,0,Physical,"Tree Felling and Removal, Lop and Scatter, Mastication",0.006,0.28021305500000004,0.6830859666666668,97.17956217500002,201.24133428333334,0.784,0.6526456166666667,,,1.2323026315789471,1.2214594594594594,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0074,0,Fire,Broadcast Burning - Covers a majority of the unit,0.989,0.34053057999999997,0.6777792166666666,120.04769934999997,192.86847179999998,0.9154745099999998,0.8275536333333333,,,1.3567802074999997,1.2164220825000003,6,119,90,0,0,0,0,1,0,20,15,0.99,1.00,0.00,0.00,0.00,0.00,0.01,0.00
2022,0085,0,Physical,Chipping,0.025,0.39225697500000006,0.813,145.32570861874996,241.50794677999997,0.7616504812500001,0.696,,,1.3170090090090092,1.1676333333333335,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0091,0,Physical,Thinning/Fuelwood,0.002,0.285,0.688,93.64003443749998,225.365,0.601,0.5825583200000001,,,1.2998028846153842,1.2126630434782606,1,20,15,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0092,0,Physical,"Cut, Skid and Deck",0.485,0.35295255714285717,0.579,121.08286249047619,161.395,1.1319631619047616,1.048,,,1.3222400918918926,1.1391143465116285,6,119,90,0,0,0,0,1,0,20,15,0.99,1.00,0.00,0.00,0.00,0.00,0.01,0.00
2022,0101,0,Physical,Cover brush pile for burning,0.241,0.45203855499999995,0.608,166.537,168.325,1.0357072950000001,1.1274388800000001,,,1.3573836206896555,1.1768536585365854,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0106,0,Physical,Fuel Break,0.099,0.3729807210526317,0.6012119166666666,132.67134676842105,173.343,1.0349096789473684,1.215,,,1.3029187500000001,1.1856219512195123,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0107,0,Mechanical,Biomass Removal,0.055,0.22001085000000006,0.4618685333333333,101.35708903888889,117.09286753333333,0.7095267388888888,0.527,,,1.2695055555555554,1.3519444444444444,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0108,0,Mechanical,Thinning,0.055,0.22001085000000006,0.4618685333333333,101.35708903888889,117.09286753333333,0.7095267388888888,0.527,,,1.2695055555555554,1.3519444444444444,2,40,30,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0109,0,Mechanical,BIL312_4_Candy Kitchen Thinning,1.014,0.3197085500000001,0.723,112.37457084375002,219.185,0.504,0.531,,,1.2964227477477472,1.1908210227272724,5,100,75,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0110,0,Mechanical,BIL312_4_Candy Kitchen Lop and Scatter,1.014,0.3197085500000001,0.723,112.37457084375002,219.185,0.504,0.531,,,1.2964227477477472,1.1908210227272724,5,100,75,0,0,0,0,0,0,20,15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,0111,0,Mechanical,DR311_Four Wells,0.381,0.339,0.723,108.56129288749999,210.844,0.47169872499999993,0.47940510000000003,,,1.2533898816326532,1.271,4,80,56,0,0,0,0,0,0,20,15,1.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
2022,0112,0,Other,2_Black River 2 Chemical,0.381,0.339,0.723,108.56129288749999,210.844,0.47169872499999993,0.47940510000000003,,,1.2533898816326532,1.271,4,80,56,0,0,0,0,0,0,20,15,1.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
