,year,oid,is_buffer,treatment_type,project_type,area,mean_esi_pre,mean_esi_post,mean_et_pre,mean_et_post,mean_wue_pre,mean_wue_post,mean_lst_eco_pre,mean_lst_eco_post,mean_lst_modis_pre,mean_lst_modis_post,total_pixels_modis,non-fire_pre,non-fire_post,fire_low_pre,fire_low_post,fire_nominal_pre,fire_nominal_post,fire_high_pre,fire_high_post,total_days_modis_pre,total_days_modis_post
0,2015,0004,Treatment,Physical,"Removal, Mastication",51382.557217058486,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
1,2015,0004,Buffer,Physical,"Removal, Mastication",51382.557217058486,,,,,,,,,,,6,120.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
3,2015,0045,Treatment,Physical,"Removal, Mastication",31732.879396924745,,,,,,,,,,,3,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
4,2015,0045,Buffer,Physical,"Removal, Mastication",31732.879396924745,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
5,2015,0065,Treatment,needs input,needs input,987364.916595448,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
6,2015,0065,Buffer,needs input,needs input,987364.916595448,,,,,,,,,,,8,160.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
7,2015,0069,Treatment,Physical,Thinning,9156.57490995629,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
8,2015,0069,Buffer,Physical,Thinning,9156.57490995629,,,,,,,,,,,7,140.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
9,2015,0083,Treatment,Physical,"Heavy Thin, Haul Slash",879.6459706939374,,,,,,,,,,,2,40.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
10,2015,0083,Buffer,Physical,"Heavy Thin, Haul Slash",879.6459706939374,,,,,,,,,,,9,180.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0
